City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,kamen'-na-obi,53.7884,81.3423,7.44,77,62,3.1,RU,2024-04-08
301,pemba,-12.974,40.5178,30.39,74,75,4.63,MZ,2024-04-08
302,broome,42.2506,-75.833,13.99,52,0,2.24,US,2024-04-08
303,lihue,21.9789,-159.3672,21.77,83,20,8.75,US,2024-04-08
304,ingeniero jacobacci,-41.3427,-69.5448,15.7,53,100,11.54,AR,2024-04-08
305,gilgit,35.9221,74.3087,7.19,42,0,1.36,PK,2024-04-08
306,lata,40.1629,-8.3327,14.49,67,83,6.3,PT,2024-04-08
307,sinabang,2.4803,96.3801,27.57,84,100,1.65,ID,2024-04-08
308,slave lake,55.2834,-114.769,5.01,62,62,1.19,CA,2024-04-08
309,luderitz,-26.6481,15.1594,17.66,83,50,3.4,,2024-04-08
310,mountain home,43.133,-115.6912,2.71,85,0,3.58,US,2024-04-08
311,taradale,-39.5333,176.85,10.01,89,2,1.13,NZ,2024-04-08
312,colares,38.7992,-9.4469,18.52,69,40,10.28,PT,2024-04-08
313,kutum,14.2,24.6667,32.43,8,100,5.67,SD,2024-04-08
314,palapag,12.5458,125.1147,24.83,93,33,1.87,PH,2024-04-08
315,susuman,62.7833,148.1667,-10.01,91,100,1.34,RU,2024-04-08
316,polewali,-3.4324,119.3435,26.34,89,100,1.18,ID,2024-04-08
317,chengyang,27.0892,119.6453,18.29,98,100,0.27,CN,2024-04-08
318,salinopolis,-0.6136,-47.3561,27.54,86,62,3.76,BR,2024-04-08
319,sidi qacem,34.2215,-5.7078,22.75,39,76,5.35,MA,2024-04-08
320,podborany,50.2294,13.4119,28.98,34,79,2.41,CZ,2024-04-08
321,baker city,44.7749,-117.8344,1.99,75,0,0.0,US,2024-04-08
322,noormarkku,61.5927,21.8685,9.88,66,75,3.6,FI,2024-04-08
323,katsuura,35.1333,140.3,17.83,98,99,3.71,JP,2024-04-08
324,northam,51.0333,-4.2167,13.14,89,100,8.87,GB,2024-04-08
325,kalkaman,51.9525,76.0211,12.34,69,100,6.24,KZ,2024-04-08
326,meiganga,6.5167,14.3,31.15,32,100,3.72,CM,2024-04-08
327,babayevo,59.3936,35.9371,12.41,63,88,4.77,RU,2024-04-08
328,mahibadhoo,3.7833,72.9667,29.31,69,88,1.28,MV,2024-04-08
329,gadzhiyevo,69.2551,33.3362,-3.3,92,100,8.02,RU,2024-04-08
330,volokonovka,50.4827,37.8563,19.67,46,94,3.32,RU,2024-04-08
331,ouesso,1.6136,16.0517,29.75,57,100,2.17,CG,2024-04-08
332,lehavim,31.3728,34.8162,19.13,51,96,6.03,IL,2024-04-08
333,melfort,52.8667,-104.6177,6.07,65,76,2.06,CA,2024-04-08
334,bikenibeu village,1.3673,173.1241,27.96,83,96,8.37,KI,2024-04-08
335,san antonio de pale,-1.4014,5.6325,27.67,76,100,3.54,GQ,2024-04-08
336,shiguai,40.7058,110.2856,10.04,62,48,2.44,CN,2024-04-08
337,sosnovo-ozerskoye,52.5249,111.5418,2.87,63,99,3.15,RU,2024-04-08
338,puerto madryn,-42.7692,-65.0385,22.4,44,100,4.0,AR,2024-04-08
339,bandarbeyla,9.4942,50.8122,28.29,68,97,3.91,SO,2024-04-08
340,fernie,49.5,-115.0687,5.05,93,100,2.22,CA,2024-04-08
341,enewetak,11.3474,162.3373,27.4,79,100,9.41,MH,2024-04-08
